page,id_in_page,details_page_url,agency_or_not,website
8,10,https://www.sortlist.com/agency/stark-marketing-de,1,https://www.stark.marketing
8,11,https://www.sortlist.com/agency/ffwd-fast-forward,1,https://ffwd-cc.de
8,12,https://www.sortlist.com/agency/ilo-madagascar-sarlu,1,https://www.ilo-madagascar.com/
8,13,https://www.sortlist.com/agency/devcorp,1,http://www.devcrop.fr
8,14,https://www.sortlist.com/agency/jiseg-it,1,https://jiseg-it.com
8,15,https://www.sortlist.com/agency/devision,1,https://www.devision.com/
8,16,https://www.sortlist.com/agency/bytes-technolab-inc,1,https://www.bytestechnolab.com/
8,17,https://www.sortlist.com/agency/cmc-global,1,https://cmcglobal.com.vn/
8,18,https://www.sortlist.com/agency/xtend-brand-digital-marketing-agency,1,https://xtendbrand.com
8,19,https://www.sortlist.com/agency/box,1,https://www.box.be
8,20,https://www.sortlist.com/agency/wearethinkers,1,https://www.wearethinkers.co
8,21,https://www.sortlist.com/agency/belighted,1,https://www.belighted.com
8,22,https://www.sortlist.com/agency/corecrew,1,https://corecrew.be
8,23,https://www.sortlist.com/agency/calibrate,1,http://www.calibrate.be
8,24,https://www.sortlist.com/agency/symantra,1,http://www.symantra.com
8,25,https://www.sortlist.com/agency/3-minds-digital,1,http://www.3mindsdigital.com/
8,26,https://www.sortlist.com/agency/switch-soft-technologies-pvt-ltd,1,http://www.thisisswitch.com
8,27,https://www.sortlist.com/agency/langoor-digital,1,http://www.langoor.com
8,28,https://www.sortlist.com/agency/xapps-for-mobile-application-development,1,http://www.XApps.co
8,29,https://www.sortlist.com/agency/sumocoders,1,http://www.sumocoders.be
8,30,https://www.sortlist.com/agency/soft-tech-group-inc,1,http://softtechgroup.us
8,31,https://www.sortlist.com/agency/giraffe-studio,1,http://giraffestudio.pl/
8,32,https://www.sortlist.com/agency/aleksey,1,https://sirion-soft.com/
8,33,https://www.sortlist.com/agency/techinnover,1,http://www.techinnover.com/
8,34,https://www.sortlist.com/agency/scrumble,1,https://scrumble.nl/
